customer_id,full_name,country,risk_rating,onboarded_at,vulnerable_customer_flag,typical_payment_size_p95
C9101,Olivia Hughes,GB,medium,2025-04-27T12:00:00,False,
C9102,Margaret Wallace,GB,low,2023-12-14T12:00:00,True,1000.00
C9103,Jacob Patterson,GB,medium,2025-11-13T12:00:00,False,
C9104,Mule Vector Ltd,GB,medium,2026-05-20T12:00:00,False,
C9105,Retail Customer 5,GB,low,2025-09-24T12:00:00,False,
C9106,Retail Customer 6,GB,low,2025-09-20T12:00:00,False,
C9107,Retail Customer 7,GB,low,2025-09-16T12:00:00,False,
C9108,Retail Customer 8,GB,low,2025-09-12T12:00:00,False,
C9109,Retail Customer 9,GB,low,2025-09-08T12:00:00,False,
C9110,Retail Customer 10,GB,low,2025-09-04T12:00:00,False,
C9111,Retail Customer 11,GB,low,2025-08-31T12:00:00,False,
C9112,Retail Customer 12,GB,low,2025-08-27T12:00:00,False,
C9113,Retail Customer 13,GB,low,2025-08-23T12:00:00,False,
C9114,Retail Customer 14,GB,low,2025-08-19T12:00:00,False,
C9115,Retail Customer 15,GB,low,2025-08-15T12:00:00,False,
C9116,Retail Customer 16,GB,low,2025-08-11T12:00:00,False,
C9117,Retail Customer 17,GB,low,2025-08-07T12:00:00,False,
C9118,Retail Customer 18,GB,low,2025-08-03T12:00:00,False,
C9119,Retail Customer 19,GB,low,2025-07-30T12:00:00,False,
C9120,Retail Customer 20,GB,low,2025-07-26T12:00:00,False,
C9121,Retail Customer 21,GB,low,2025-07-22T12:00:00,False,
C9122,Retail Customer 22,GB,low,2025-07-18T12:00:00,False,
C9123,Retail Customer 23,GB,low,2025-07-14T12:00:00,False,
C9124,Retail Customer 24,GB,low,2025-07-10T12:00:00,False,
C9125,Retail Customer 25,GB,low,2025-07-06T12:00:00,False,
C9126,Retail Customer 26,GB,low,2025-07-02T12:00:00,False,
C9127,Retail Customer 27,GB,low,2025-06-28T12:00:00,False,
C9128,Retail Customer 28,GB,low,2025-06-24T12:00:00,False,
C9129,Retail Customer 29,GB,low,2025-06-20T12:00:00,False,
